0000000004;scans;0000000078;DataLength
"header";0000000023;"lines"
"Date";21/02/2019;"Time";17:10:49
"ID";"HAL IV RC HALO 201 #11202";"Version";3
"Scans";4
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"SEM";"mass";4.00;4.00;0.01;2000.000;500.000;0.140000;1.000000;
"Scan 2";"RGA";"Faraday";"mass";44.00;44.00;0.01;500.000;100.000;1.400000;1.000000;
"Scan 3";"RGA";"Faraday";"mass";40.00;40.00;0.01;500.000;100.000;1.200000;1.000000;
"Scan 4";"RGA";"SEM";"mass";36.00;36.00;0.01;1000.000;5000.000;0.004000;1.000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";5.0;"V"
"delta-m";0;"%"
"electron-energy";100.0;"V"
"emission";1500;"uA"
"focus";-90;"V"
"mass";5.50;"amu"
"mode-change-delay";1000;"ms"
"multiplier";800;"V"
"resolution";0;"%"
"Data";4
"Time";"ms";"Helium";"Carbon dioxide";"Argon-40";"Argon-36";
00:00:00;        73;  4.31424e-08;  3.65312e-08;  2.38437e-07;  2.35917e-07;
00:00:24;     24157;  3.29321e-08;  2.40044e-08;  1.42928e-07;  1.63927e-07;
00:01:10;     70765;  2.28858e-08;  2.01195e-08;  1.02982e-07;  1.32550e-07;
00:01:51;    111363;  1.88983e-08;  1.84636e-08;  8.53683e-08;  1.07003e-07;
